train_step,time_steps,ppo_epochs,avg_policy_loss,avg_value_loss,avg_entropy,avg_kl
60,35390,5,-0.003441,31.507753,0.118020,0.001081
61,36021,5,-0.001904,31.359237,0.101303,0.000094
62,36615,5,-0.001749,37.673141,0.117499,0.000125
63,37220,5,-0.001745,31.764127,0.098717,0.000086
64,37809,5,-0.001780,35.998165,0.103141,0.000504
65,38398,5,-0.001877,33.279112,0.101855,0.000667
66,39005,5,-0.001635,29.545492,0.092429,0.000607
67,39635,5,-0.000922,23.962188,0.082933,0.000020
68,40220,5,-0.001139,22.648405,0.092847,0.000040
69,40824,5,-0.001350,24.305801,0.088526,0.000011
70,41432,5,-0.001328,25.849372,0.087497,0.000058
71,42032,5,-0.001374,23.824495,0.080189,0.000016
72,42634,5,-0.001317,21.227277,0.075435,0.000040
73,43236,5,-0.001041,24.821620,0.078040,0.000018
74,43831,5,-0.000949,22.912038,0.068750,0.000005
75,44436,5,-0.000961,27.079771,0.073042,0.000005
76,45028,5,-0.001417,21.823526,0.077451,0.000014
77,45612,5,-0.001158,30.604605,0.074885,0.000065
78,46208,5,-0.000712,16.402843,0.066409,0.000035
79,46815,5,-0.000807,18.215119,0.065407,0.000005
80,47412,5,-0.000747,18.936649,0.066077,0.000026
81,47994,5,-0.001096,16.690998,0.074545,0.000013
82,48603,5,-0.000929,17.375949,0.060187,0.000006
83,49197,5,-0.001071,14.506089,0.070961,0.000006
84,49812,5,-0.000875,14.747451,0.067501,0.000004
85,50390,5,-0.001082,13.394094,0.081258,0.000004
